Year, Month, Interannual_Variation, Unverified, Five_Month_Average
1972,11,0.072,,99999.000,
1972,12,-0.045,,99999.000,
1973,1,-0.009,,0.004,
1973,2,0.012,,-0.021,
1973,3,-0.009,,-0.001,
1973,4,-0.055,,0.012,
1973,5,0.055,,0.011,
1973,6,0.058,,0.003,
1973,7,0.007,,0.011,
1973,8,-0.049,,-0.022,
1973,9,-0.016,,-0.075,
1973,10,-0.109,,-0.062,
1973,11,-0.206,,-0.081,
1973,12,0.069,,-0.100,
1974,1,-0.141,,-0.084,
1974,2,-0.111,,-0.031,
1974,3,-0.028,,-0.040,
1974,4,0.056,,-0.016,
1974,5,0.022,,-0.001,
1974,6,-0.019,,-0.010,
1974,7,-0.037,,-0.029,
1974,8,-0.072,,-0.021,
1974,9,-0.039,,-0.009,
1974,10,0.064,,0.011,
1974,11,0.039,,-0.008,
1974,12,0.062,,-0.000,
1975,1,-0.168,,-0.025,
1975,2,0.001,,-0.056,
1975,3,-0.060,,-0.056,
1975,4,-0.118,,-0.028,
1975,5,0.064,,-0.026,
1975,6,-0.029,,-0.017,
1975,7,0.011,,-0.004,
1975,8,-0.012,,-0.005,
1975,9,-0.053,,0.001,
1975,10,0.056,,-0.020,
1975,11,0.004,,-0.018,
1975,12,-0.094,,-0.031,
1976,1,-0.004,,-0.063,
1976,2,-0.119,,-0.072,
1976,3,-0.104,,-0.046,
1976,4,-0.040,,-0.057,
1976,5,0.039,,-0.020,
1976,6,-0.058,,0.013,
1976,7,0.065,,0.049,
1976,8,0.063,,0.050,
1976,9,0.135,,0.096,
1976,10,0.046,,0.097,
1976,11,0.171,,0.113,
1976,12,0.069,,0.134,
1977,1,0.144,,99999.000,
1977,2,0.242,,99999.000,
1977,4,-0.078,,99999.000,
1977,5,-0.042,,99999.000,
1977,6,-0.008,,0.002,
1977,7,0.036,,99999.000,
1977,8,0.104,,99999.000,
1978,1,-0.064,,99999.000,
1978,2,0.140,,99999.000,
1978,3,0.074,,0.028,
1978,4,-0.031,,0.015,
1978,5,0.023,,-0.018,
1978,6,-0.131,,-0.043,
1978,7,-0.026,,-0.035,
1978,8,-0.049,,-0.032,
1978,9,0.008,,-0.026,
1978,10,0.038,,-0.058,
1978,11,-0.103,,-0.050,
1978,12,-0.184,,-0.076,
1979,1,-0.007,,-0.072,
1979,2,-0.123,,-0.071,
1979,3,0.058,,-0.023,
1979,4,-0.099,,-0.044,
1979,5,0.059,,-0.036,
1979,6,-0.117,,-0.044,
1979,7,-0.082,,-0.014,
1979,8,0.017,,0.007,
1979,9,0.055,,0.041,
1979,10,0.162,,0.043,
1979,11,0.054,,0.024,
1979,12,-0.072,,0.032,
1980,1,-0.082,,0.007,
1980,2,0.099,,0.033,
1980,3,0.034,,0.066,
1980,4,0.187,,0.063,
1980,5,0.092,,0.037,
1980,6,-0.099,,0.012,
1980,7,-0.031,,-0.034,
1980,8,-0.088,,-0.031,
1980,9,-0.041,,0.009,
1980,10,0.102,,0.020,
1980,11,0.102,,0.080,
1980,12,0.025,,0.091,
1981,1,0.209,,0.106,
1981,2,0.017,,0.076,
1981,3,0.177,,0.085,
1981,4,-0.046,,0.053,
1981,5,0.069,,0.036,
1981,6,0.048,,0.013,
1981,7,-0.067,,0.033,
1981,8,0.059,,0.016,
1981,9,0.056,,0.036,
1981,10,-0.018,,0.058,
1981,11,0.147,,0.040,
1981,12,0.048,,-0.013,
1982,1,-0.032,,-0.024,
1982,2,-0.209,,-0.059,
1982,3,-0.074,,-0.065,
1982,4,-0.027,,-0.050,
1982,5,0.016,,-0.002,
1982,6,0.044,,0.014,
1982,7,0.033,,0.025,
1982,8,0.001,,0.002,
1982,9,0.030,,0.005,
1982,10,-0.098,,0.038,
1982,11,0.057,,0.065,
1982,12,0.202,,0.120,
1983,1,0.134,,0.175,
1983,2,0.305,,0.163,
1983,3,0.178,,0.146,
1983,4,-0.003,,0.143,
1983,5,0.115,,0.102,
