"spp","Trend1","Trend2"
"Theragra.chalcogramma","-0.225297665899964","0.190378088148364"
"Bathymaster.spp.","0.141780911082978","0.361937439698717"
"Hippoglossoides.elassodon","0.159526099429544","0.0134813630174407"
"Ammodytes.hexapterus","-0.370011020269752","-0.238656812232214"
"Sebastes.spp.","0.445826057299002","0.0688119515410816"
"Gadus.macrocephalus","-0.505688271968614","-0.245511578153776"
"Lepidopsetta.polyxystra","-0.802101695502762","-0.176018886811538"
"Platichthys.stellatus","-0.120410780066182","-0.27447021060942"
"Icelinus.spp.","0.0185172288416269","-0.549346728631743"
"Stenobrachius.leucopsarus","0.140701217683249","-0.555002985562732"
"Lepidopsetta.bilineata","0.581605939053711","-0.167991441014536"
"Atheresthes.stomias","-0.0904953516307384","-0.551420030740033"
"Anoplarchus.spp.","0.109242741696128","-0.304298850696038"
"Isopsetta.isolepis","0.523114899676212","-0.0304339014562399"
"Bathyagonus.alascanus","0.295033530126011","-0.389119809723993"
"Cryptacanthodes.aleutensis","0.656780102764707","-0.0309527879386074"
"Poroclinus.rothrocki","0.548094697202497","-0.192863991333889"
"Hexagrammidate.spp.","-0.276034730666345","-0.441499041377063"
"Lumpenus.maculatus","-0.478409369075828","0.104148148703768"
"Glyptocephalus.zachirus","0.17665916714545","-0.0290794805115361"
"Liparis.fucensis","0.56172093399218","-0.0812221800554294"
"Hippoglossus.stenolepis","-0.40930888663961","-0.483211244869269"
"Microstomus.pacificus","0.123483847434748","-0.19714177490673"
"Radulinus.spp.","0.607361968307984","-0.268225291740609"
"Lumpenella.longirostris","0.0329922404864703","0.379570584394119"
"Pleuronectes.quadrituberculatus","-0.540951654794669","-0.156991827335912"
"Clupea.pallasi","0.358220977960809","0.113122882332434"
"Zaprora.silenus","0.322861766411978","-0.296459649030581"
"Pholis.spp.","-0.475734727943109","-0.202107923901909"
"Leuroglossus.schmidti","0.126985977203665","-0.218495127400043"
"Ophiodon.elongatus","0.53294210106313","-0.0739230520213106"
"Mallotus.villosus","-0.412523169644987","-0.249609250579825"
"Myoxocephalus.spp.","-0.580496641234487","0.189342204300529"
"Bathyagonus.infraspinatus","0.206537086667912","0.0745471916425349"
"Ruscarius.meanyi","0.634077892207937","-0.0476975795539393"
"Protomyctophum.thompsoni","0.0311195461524972","-0.388046105150679"
"Bathylagus.pacificus","-0.122690647065456","-0.267192883087832"
"Triglops.spp.","-0.493311700057302","0.0365593822451563"
"Podothecus.acipenserinus","-0.231973803895017","0.205663984508185"
"Lumpenus.sagitta","-0.374804222017369","-0.0185603104285607"
