spp,LongName,ShortName
Gadus.chalcogrammus,walleye pollock,Ga.ch
Bathymaster.spp.,ronquils,Ba.sp
Hippoglossoides.elassodon,flathead sole,Hi.el
Ammodytes.personatus,Pacific sand lance,Am.pe
Sebastes.spp.,rockfish,Se.sp
Gadus.macrocephalus,Pacific cod,Ga.ma
Lepidopsetta.polyxystra,northern rock sole,Le.po
Platichthys.stellatus,starry flounder,Pl.st
Icelinus.spp.,sculpins A,Ic.sp
Stenobrachius.leucopsarus,northern lampfish,St.le
Lepidopsetta.bilineata,southern rock sole,Le.bi
Atheresthes.stomias,arrowtooth flounder,At.st
Anoplarchus.spp.,blennies,An.sp
Isopsetta.isolepis,butter sole,Is.is
Bathyagonus.alascanus,gray starsnout poacher,Ba.al
Cryptacanthodes.aleutensis,dwarf wrymouth,Cr.al
Poroclinus.rothrocki,whitebarred prickleback,Po.ro
Hexagrammos.spp.,kelp greenling,He.sp
Lumpenus.maculatus,daubed shanny,Lu.ma
Glyptocephalus.zachirus,rex sole,Gl.za
Liparis.fucensis,slipskin snailfish,Li.fu
Hippoglossus.stenolepis,Pacific halibut,Hi.st
Microstomus.pacificus,dover sole,Mi.pa
Radulinus.spp.,sculpins B,Ra.sp
Lumpenella.longirostris,longsnout prickleback,Lu.lo
Pleuronectes.quadrituberculatus,Alaska plaice,Pl.qu
Clupea.pallasi,Pacific herring,Cl.pa
Zaprora.silenus,prowfish,Za.si
Pholis.spp.,gunnels,Ph.sp
Leuroglossus.schmidti,northern smoothtongue,Le.sc
Ophiodon.elongatus,lingcod,Op.el
Mallotus.villosus,capelin,Ma.vi
Myoxocephalus.spp.,deepwater sculpin,My.sp
Bathyagonus.infraspinatus,spinycheek snarsnout,Ba.in
Ruscarius.meanyi,Puget Sound sculpin,Ru.me
Protomyctophum.thompsoni,bigeye lanternfish,Pr.th
Bathylagus.pacificus,slender blacksmelt,Ba.pa
Triglops.spp.,sculpins C,Tr.sp
Podothecus.acipenserinus,sturgeon poacher,Po.ac
Lumpenus.sagitta,snake prickleback,Lu.sa
