spp,LongName,ShortName,Habitat,Hab.short,shelf.slope,Guild,Spawn.time,Spawn.short,Egg.Ecology,Larval.Duration.wks,Dur.short,Lat
Gadus.chalcogrammus,walleye pollock,Ga.ch,epibenthic.shelf,benthic,shelf,pelagic forage,early spring,early spring,pelagic,16-20,4,ubiquitous
Bathymaster.spp.,ronquils,Ba.sp,demersal.shelf,benthic,shelf,benthic forage,late spring- summer,late spring,demersal,20-25,5,ubiquitous
Hippoglossoides.elassodon,flathead sole,Hi.el,benthic.shelf.upper.slope,benthic,slope,benthic forage3,early spring,early spring,pelagic,15-18,4,north
Ammodytes.personatus,Pacific sand lance,Am.pe,pelagic.nearshore.shelf,pelagic,shelf,pelagic forage,late winter-early summer,late winter,demersal,30+,8,ubiquitous
Sebastes.spp.,rockfish,Se.sp,benthic.slope,benthic,slope,pelagic forage,spring-early summer,spring,live bearing,20-24,5,ubiquitous
Gadus.macrocephalus,Pacific cod,Ga.ma,epibenthic.shelf,benthic,shelf,apex predator,early spring,early spring,demersal,14-Dec,3,north
Lepidopsetta.polyxystra,northern rock sole,Le.po,benthic.shelf,benthic,shelf,benthic forage,early spring,early spring,demersal,18-20,5,north
Platichthys.stellatus,starry flounder,Pl.st,benthic.shelf.upper.slope,benthic,slope,pelagic forage,"late spring, summer",late spring,pelagic,10-Aug,2,south
Icelinus.spp.,sculpins A,Ic.sp,demersal.nearshore.shelf,benthic,nearshore,benthic forage,spring,spring,demersal,NA,NA,north
Stenobrachius.leucopsarus,northern lampfish,St.le,pelagic.slope,pelagic,slope,pelagic forage,winter,winter,pelagic,30+,8,ubiquitous
Lepidopsetta.bilineata,southern rock sole,Le.bi,benthic.shelf,benthic,shelf,benthic forage,"late spring, summer",late spring,demersal,16-18,4,south
Atheresthes.stomias,arrowtooth flounder,At.st,benthic.slope,benthic,slope,apex predator,winter,winter,pelagic,20-24,5,ubiquitous
Anoplarchus.spp.,blennies,An.sp,demersal.nearshore.shelf,benthic,nearshore,benthic forage,spring-early summer,spring,demersal,14-Dec,3,north
Isopsetta.isolepis,butter sole,Is.is,benthic.shelf,benthic,shelf,benthic forage,early spring,early spring,pelagic,10-Aug,2,south
Bathyagonus.alascanus,gray starsnout poacher,Ba.al,demersal.shelf,benthic,shelf,benthic forage,spring,spring,demersal,14-Dec,3,ubiquitous
Cryptacanthodes.aleutensis,dwarf wrymouth,Cr.al,demersal.shelf,benthic,shelf,benthic forage,spring-summer,spring,demersal,14-Dec,3,ubiquitous
Poroclinus.rothrocki,whitebarred prickleback,Po.ro,demersal.shelf,benthic,shelf,benthic forage,spring,spring,demersal,15-18,4,ubiquitous
Hexagrammos.spp.,kelp greenling,He.sp,demersal.nearshore.shelf,benthic,nearshore,benthic forage,winter-early spring,winter,demersal,30+,8,ubiquitous
Lumpenus.maculatus,daubed shanny,Lu.ma,demersal.nearshore.shelf,benthic,nearshore,benthic forage,spring,spring,demersal,20-24,5,north
Glyptocephalus.zachirus,rex sole,Gl.za,benthic.outer.shelf.slope,benthic,slope,benthic forage,spring,spring,pelagic,30+,8,south
Liparis.fucensis,slipskin snailfish,Li.fu,benthic.shelf,benthic,shelf,benthic forage,late spring,late spring,demersal,10-Aug,2,ubiquitous
Hippoglossus.stenolepis,Pacific halibut,Hi.st,benthic.slope,benthic,slope,apex predator,winter,winter,demersal,20-24,5,north
Microstomus.pacificus,dover sole,Mi.pa,benthic.slope,benthic,slope,benthic forage,spring-early summer,spring,pelagic,30+,8,south
Radulinus.spp.,sculpins B,Ra.sp,demersal.shelf,benthic,shelf,benthic forage,spring,spring,demersal,NA,NA,south
Lumpenella.longirostris,longsnout prickleback,Lu.lo,benthic.shelf,benthic,shelf,benthic forage,spring,spring,demersal,14-Dec,3,north
Pleuronectes.quadrituberculatus,Alaska plaice,Pl.qu,benthic.shelf,benthic,shelf,benthic forage,late spring-summer,late spring,pelagic,10-Aug,2,north
Clupea.pallasi,Pacific herring,Cl.pa,pelagic.shelf,pelagic,shelf,pelagic forage,late spring,late spring,demersal,14-Dec,3,south
Zaprora.silenus,prowfish,Za.si,demersal.slope,benthic,slope,benthic forage,spring,spring,demersal,16-20,4,north
Pholis.spp.,gunnels,Ph.sp,demersal.nearshore.shelf,benthic,nearshore,benthic forage,late winter-early summer,late winter,demersal,14-Dec,3,ubiquitous
