Year,Spawning.bio,St.dev
1977,449277,91438
1978,483965,96177
1979,474895,92067
1980,459504,85451
1981,475040,82750
1982,493067,80319
1983,467587,72914
1984,428067,63905
1985,399136,55378
1986,376380,48032
1987,354220,42404
1988,331807,38100
1989,320414,35217
1990,300556,32543
1991,277791,30240
1992,261240,29232
1993,257833,28811
1994,269945,29044
1995,280725,28352
1996,271803,26591
1997,261124,24797
1998,246415,23056
1999,239692,21664
2000,222655,20222
2001,213974,18660
2002,204412,17460
2003,197263,16798
2004,197748,16669
2005,193289,16271
2006,179638,15455
2007,166316,14308
2008,152734,13268
2009,152479,12880
2010,168483,13963
2011,189732,15923
2012,213863,18412
2013,230967,19805
2014,223789,19519
2015,202714,18216
2016,186487,
