Year,Spawning.bio,St.dev
1977,132285,"30,821 "
1978,143660,"31,718 "
1979,140575,"30,038 "
1980,140510,"28,713 "
1981,160675,"31,350 "
1982,195575,"35,342 "
1983,208360,"35,003 "
1984,210755,"33,449 "
1985,214060,"31,229 "
1986,211320,"27,717 "
1987,203960,"24,308 "
1988,202310,"21,719 "
1989,208230,"19,750 "
1990,204735,"17,454 "
1991,184630,"15,274 "
1992,167680,"13,742 "
1993,153455,"12,756 "
1994,154515,"12,172 "
1995,155935,"11,135 "
1996,140470,"9,572 "
1997,121770,"8,053 "
1998,104710,"6,952 "
1999,94670,"6,373 "
2000,84750,"6,031 "
2001,77685,"5,553 "
2002,75600,"5,140 "
2003,78190,"5,022 "
2004,80825,"4,965 "
2005,76535,"4,462 "
2006,67700,"3,660 "
2007,57805,"3,040 "
2008,51225,"2,876 "
2009,53605,"3,357 "
2010,69070,"4,222 "
2011,77630,"5,057 "
2012,81330,"5,957 "
2013,85110,"6,543 "
2014,81115,"6,412 "
2015,75485,"7,088 "
2016,91210,"10,037 "
2017,"98,479 ",NA
