year,asst,wsst,ssst
1981,27.65740679,27.65740679,NA
1982,27.13915063,27.95414752,26.55700999
1983,27.17023087,28.34659196,26.32997296
1984,27.25510742,28.13685122,26.62529041
1985,26.98223705,27.71114753,26.46158671
1986,27.13464446,28.11588826,26.43375602
1987,27.52089445,28.37466603,26.9110576
1988,27.34161976,28.189629,26.73589887
1989,26.85881113,27.58155494,26.34256555
1990,27.15354878,27.91066604,26.61275073
1991,27.48408889,28.23214752,26.9497613
1992,27.29492223,28.136629,26.69370311
1993,27.33678951,28.15685122,26.75103115
1994,27.33723704,28.18959196,26.7284121
1995,27.34331729,28.13859196,26.77526395
1996,27.00734508,27.92374012,26.35277719
1997,27.21526174,28.0499253,26.61907348
1998,27.70655802,28.66185121,27.02420575
1999,27.06814754,27.90736975,26.46870311
2000,27.06518458,27.97599937,26.41460258
2001,27.24243766,28.1923327,26.56394121
2002,27.38433581,28.12007345,26.85880892
2003,27.46050865,28.41685122,26.77740681
2004,27.32618766,28.35448085,26.59169253
2005,27.41253025,28.35318455,26.74063432
2006,27.40161976,28.33392529,26.73568723
2007,27.66714444,28.48492529,27.08301527
2008,26.93901174,27.85811049,26.28251264
2009,27.39401173,28.43874011,26.64777718
2010,27.39661976,28.34851788,26.71669252
2011,26.84240681,27.78381419,26.16997296
2012,27.32353334,28.14318456,26.73806819
2013,27.20972161,28.14355493,26.54269782
2014,27.2411568,28.07496234,26.64558142
2015,27.47285432,28.3323327,26.8589412
