"","year","asst","wsst","ssst"
"1",1981,27.6574067892162,27.6574067892162,NA
"2",1982,27.1391506279606,27.9541475233242,26.5570099884151
"3",1983,27.1702308741795,28.3465919589969,26.3299729564528
"4",1984,27.2551074154922,28.1368512229442,26.6252904101694
"5",1985,26.982237051221,27.7111475287557,26.4615867101247
"6",1986,27.1346444552218,28.1158882604498,26.4337560229161
"7",1987,27.5208944465885,28.3746660324434,26.9110575995492
"8",1988,27.3416197592375,28.1896289995423,26.7358988733056
"9",1989,26.8588111280538,27.5815549390597,26.3425655487639
"10",1990,27.1535487757869,27.9106660428147,26.61275072791
"11",1991,27.4840888918556,28.2321475171105,26.9497613023878
"12",1992,27.2949222294171,28.1366290007269,26.6937031070529
"13",1993,27.3367895124319,28.1568512224972,26.7510311480996
"14",1994,27.3372370432861,28.1895919625061,26.7284121009861
"15",1995,27.3433172900638,28.138591963646,26.7752639517908
"16",1996,27.0073450753511,27.9237401165965,26.3527771887473
"17",1997,27.2152617373705,28.0499252989612,26.6190734790914
"18",1998,27.7065580226855,28.6618512112095,27.0242057451683
"19",1999,27.0681475431279,27.907369746592,26.4687031120821
"20",2000,27.0651845802312,27.9759993746877,26.4146025841908
"21",2001,27.242437662689,28.1923327031856,26.5639412051914
"22",2002,27.3843358076655,28.1200734455414,26.8588089234683
"23",2003,27.460508645469,28.4168512166857,26.7774068088857
"24",2004,27.326187660817,28.3544808477094,26.5916925273225
"25",2005,27.4125302514797,28.3531845514421,26.7406343229352
"26",2006,27.4016197578964,28.3339252926133,26.7356872330986
"27",2007,27.6671444433195,28.4849252892382,27.0830152676633
"28",2008,26.9390117435452,27.8581104884338,26.2825126400533
"29",2009,27.3940117333751,28.4387401050854,26.6477771821535
"30",2010,27.3966197580082,28.3485178848798,26.7166925245285
"31",2011,26.8424068074328,27.7838141937982,26.1699729600291
"32",2012,27.3235333398887,28.143184556136,26.7380681854264
"33",2013,27.2097216140375,28.1435549264981,26.5426978194229
"34",2014,27.2411567985201,28.0749623354386,26.6455814150068
"35",2015,27.4728543242054,28.3323327000563,26.8589411985977
