"Year","Pcod_F_SSB_t","Arr_A_B","HalibutSSB_millionst","Pollock_F_SSB_thousandt"
1961,NA,370329,NA,NA
1962,NA,379715,NA,NA
1963,NA,387133,NA,NA
1964,NA,394231,NA,NA
1965,NA,400459,NA,NA
1966,NA,405499,NA,NA
1967,NA,407708,NA,NA
1968,NA,410399,NA,NA
1969,NA,414747,NA,NA
1970,NA,421869,NA,NA
1971,NA,430571,NA,NA
1972,NA,457236,NA,NA
1973,NA,497803,NA,NA
1974,NA,557048,NA,NA
1975,NA,649390,NA,NA
1976,NA,718002,NA,NA
1977,186808,792910,NA,138
1978,227088,846051,NA,130
1979,239480,890639,NA,133
1980,238081,935299,NA,174
1981,252175,998827,NA,179
1982,285659,1066840,NA,270
1983,285396,1107090,NA,407
1984,262246,1140760,NA,464
1985,244848,1195780,NA,446
1986,234405,1263590,NA,404
1987,226094,1351500,NA,377
1988,211026,1421270,NA,384
1989,202045,1482620,NA,426
1990,192004,1546350,NA,408
1991,172390,1583330,NA,405
1992,151710,1604780,NA,375
1993,144063,1624790,NA,407
1994,146202,1625260,NA,453
1995,155479,1599820,NA,410
1996,150300,1572920,483.7,373
1997,141547,1549700,520.8,327
1998,128100,1547510,513.5,251
1999,122142,1569510,498.4,224
2000,110458,1616640,469.8,207
2001,109422,1687350,433.9,201
2002,102436,1814410,392.4,170
2003,90860,1893420,347.3,157
2004,87923,1930520,309.8,166
2005,87611,1974370,275.7,208
2006,83399,2016730,247.6,218
2007,79240,2053730,226.6,196
2008,73601,2108760,212,192
2009,73230,2112760,193.7,188
2010,81752,2102280,186.2,253
2011,95863,2065380,183.5,299
2012,116606,2013270,185.2,326
2013,146930,1994960,191.9,366
2014,147000,NA,200.1,297
2015,NA,NA,209.3,NA
2016,NA,NA,219,NA
